"ticker","volatility","Security","GICS.Sector","GICS.Sub.Industry"
"JBHT",0.0202489912302576,"J.B. Hunt","Industrials","Cargo Ground Transportation"
"JBL",0.0257060792472339,"Jabil","Information Technology","Electronic Manufacturing Services"
"JCI",0.0193616567986678,"Johnson Controls","Industrials","Building Products"
"JKHY",0.0169122829191139,"Jack Henry & Associates","Financials","Transaction & Payment Processing Services"
"JNJ",0.0124838343729867,"Johnson & Johnson","Health Care","Pharmaceuticals"
"JPM",0.0199681887067656,"JPMorgan Chase","Financials","Diversified Banks"
"K",0.013986748769823,"Kellanova","Consumer Staples","Packaged Foods & Meats"
"KDP",0.0152043391883241,"Keurig Dr Pepper","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"KEY",0.0300284478068992,"KeyCorp","Financials","Regional Banks"
"KEYS",0.0207336795216198,"Keysight Technologies","Information Technology","Electronic Equipment & Instruments"
"KHC",0.0170397565460124,"Kraft Heinz","Consumer Staples","Packaged Foods & Meats"
"KIM",0.0253158420619625,"Kimco Realty","Real Estate","Retail REITs"
"KKR",0.02596932170511,"KKR & Co.","Financials","Asset Management & Custody Banks"
"KLAC",0.0289715325895676,"KLA Corporation","Information Technology","Semiconductor Materials & Equipment"
"KMB",0.0133856807380527,"Kimberly-Clark","Consumer Staples","Household Products"
"KMI",0.0197787507827028,"Kinder Morgan","Energy","Oil & Gas Storage & Transportation"
"KMX",0.0284184176262295,"CarMax","Consumer Discretionary","Automotive Retail"
"KO",0.0128702485881485,"Coca-Cola Company (The)","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"KR",0.0176659596451078,"Kroger","Consumer Staples","Food Retail"
"L",0.0192770426076663,"Loews Corporation","Financials","Multi-line Insurance"
"LDOS",0.0186908955288094,"Leidos","Industrials","Diversified Support Services"
"LEN",0.026920532830115,"Lennar","Consumer Discretionary","Homebuilding"
"LH",0.0190590104286189,"Labcorp","Health Care","Health Care Services"
"LHX",0.0171222386680267,"L3Harris","Industrials","Aerospace & Defense"
"LII",0.0203816456486206,"Lennox International","Industrials","Building Products"
"LIN",0.0158669238394986,"Linde plc","Materials","Industrial Gases"
"LKQ",0.0240860750453003,"LKQ Corporation","Consumer Discretionary","Distributors"
"LLY",0.0215799305731758,"Lilly (Eli)","Health Care","Pharmaceuticals"
"LMT",0.0165941665353909,"Lockheed Martin","Industrials","Aerospace & Defense"
"LNT",0.0153853147339092,"Alliant Energy","Utilities","Electric Utilities"
"LOW",0.0199663548496042,"Lowe's","Consumer Discretionary","Home Improvement Retail"
"LRCX",0.0307083851510166,"Lam Research","Information Technology","Semiconductor Materials & Equipment"
"LULU",0.0271271680080351,"Lululemon Athletica","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"LUV",0.0264774452375633,"Southwest Airlines","Industrials","Passenger Airlines"
"LVS",0.02798871666838,"Las Vegas Sands","Consumer Discretionary","Casinos & Gaming"
"LW",0.0256594006128238,"Lamb Weston","Consumer Staples","Packaged Foods & Meats"
"LYB",0.0252988239977609,"LyondellBasell","Materials","Specialty Chemicals"
"LYV",0.0279709956582766,"Live Nation Entertainment","Communication Services","Movies & Entertainment"
"MA",0.0189817047022567,"Mastercard","Financials","Transaction & Payment Processing Services"
"MAA",0.0176473362597341,"Mid-America Apartment Communities","Real Estate","Multi-Family Residential REITs"
"MAR",0.0242670889923026,"Marriott International","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"MAS",0.0198180950160635,"Masco","Industrials","Building Products"
"MCD",0.0144101166245805,"McDonald's","Consumer Discretionary","Restaurants"
"MCHP",0.029692076525249,"Microchip Technology","Information Technology","Semiconductors"
"MCK",0.0178732864274908,"McKesson Corporation","Health Care","Health Care Distributors"
"MCO",0.0197117688635259,"Moody's Corporation","Financials","Financial Exchanges & Data"
"MDLZ",0.0139829850491986,"Mondelez International","Consumer Staples","Packaged Foods & Meats"
"MDT",0.0164801486953481,"Medtronic","Health Care","Health Care Equipment"
"MET",0.0217094640717051,"MetLife","Financials","Life & Health Insurance"
"META",0.0278483891465094,"Meta Platforms","Communication Services","Interactive Media & Services"
"MGM",0.0340374897718323,"MGM Resorts","Consumer Discretionary","Casinos & Gaming"
"MHK",0.029694168960388,"Mohawk Industries","Consumer Discretionary","Home Furnishings"
"MKC",0.0164552853724362,"McCormick & Company","Consumer Staples","Packaged Foods & Meats"
"MLM",0.0212161846196576,"Martin Marietta Materials","Materials","Construction Materials"
"MMC",0.0144226425463621,"Marsh McLennan","Financials","Insurance Brokers"
"MMM",0.0187075738721513,"3M","Industrials","Industrial Conglomerates"
"MNST",0.0166278847473481,"Monster Beverage","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"MO",0.0150216804790661,"Altria","Consumer Staples","Tobacco"
"MOH",0.0249731543618339,"Molina Healthcare","Health Care","Managed Health Care"
"MOS",0.0315429797983278,"Mosaic Company (The)","Materials","Fertilizers & Agricultural Chemicals"
"MPC",0.0288471279946221,"Marathon Petroleum","Energy","Oil & Gas Refining & Marketing"
"MPWR",0.0345208377047769,"Monolithic Power Systems","Information Technology","Semiconductors"
"MRK",0.0155493284025421,"Merck & Co.","Health Care","Pharmaceuticals"
"MRNA",0.0465750663914143,"Moderna","Health Care","Biotechnology"
"MS",0.022249848029661,"Morgan Stanley","Financials","Investment Banking & Brokerage"
"MSCI",0.0222879713910922,"MSCI Inc.","Financials","Financial Exchanges & Data"
"MSFT",0.0188374378315345,"Microsoft","Information Technology","Systems Software"
"MSI",0.0172483365579029,"Motorola Solutions","Information Technology","Communications Equipment"
"MTB",0.0247452367404756,"M&T Bank","Financials","Regional Banks"
"MTCH",0.0301624091659405,"Match Group","Communication Services","Interactive Media & Services"
"MTD",0.020923499692707,"Mettler Toledo","Health Care","Life Sciences Tools & Services"
"MU",0.031055994537675,"Micron Technology","Information Technology","Semiconductors"
"NCLH",0.0478287607744245,"Norwegian Cruise Line Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"NDAQ",0.0173392405002073,"Nasdaq, Inc.","Financials","Financial Exchanges & Data"
"NDSN",0.0195936360160051,"Nordson Corporation","Industrials","Industrial Machinery & Supplies & Components"
"NEE",0.0191292584439592,"NextEra Energy","Utilities","Multi-Utilities"
"NEM",0.023168624480482,"Newmont","Materials","Gold"
"NFLX",0.0277935055773162,"Netflix","Communication Services","Movies & Entertainment"
"NI",0.0166474944923133,"NiSource","Utilities","Multi-Utilities"
"NKE",0.0226744942115312,"Nike, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"NOC",0.0174776185022332,"Northrop Grumman","Industrials","Aerospace & Defense"
"NOW",0.0267478021892275,"ServiceNow","Information Technology","Systems Software"
"NRG",0.0259008591054493,"NRG Energy","Utilities","Independent Power Producers & Energy Traders"
"NSC",0.0192228078094605,"Norfolk Southern","Industrials","Rail Transportation"
"NTAP",0.0228802724306259,"NetApp","Information Technology","Technology Hardware, Storage & Peripherals"
"NTRS",0.0218911400037865,"Northern Trust","Financials","Asset Management & Custody Banks"
"NUE",0.0258680098657564,"Nucor","Materials","Steel"
"NVDA",0.0338611949618487,"Nvidia","Information Technology","Semiconductors"
"NVR",0.022523562735677,"NVR, Inc.","Consumer Discretionary","Homebuilding"
"NWS",0.0208689875004388,"News Corp (Class B)","Communication Services","Publishing"
"NWSA",0.0205401246365662,"News Corp (Class A)","Communication Services","Publishing"
"NXPI",0.0278709216977572,"NXP Semiconductors","Information Technology","Semiconductors"
"O",0.0188378915771053,"Realty Income","Real Estate","Retail REITs"
"ODFL",0.0228803707935286,"Old Dominion","Industrials","Cargo Ground Transportation"
"OKE",0.0296054108894544,"Oneok","Energy","Oil & Gas Storage & Transportation"
"OMC",0.0201950301848948,"Omnicom Group","Communication Services","Advertising"
"ON",0.0361777265515052,"ON Semiconductor","Information Technology","Semiconductors"
"ORCL",0.0242097117571716,"Oracle Corporation","Information Technology","Application Software"
"ORLY",0.0168979409539549,"O’Reilly Automotive","Consumer Discretionary","Automotive Retail"
"OTIS",0.0162206125732083,"Otis Worldwide","Industrials","Industrial Machinery & Supplies & Components"
"OXY",0.0378647755808082,"Occidental Petroleum","Energy","Oil & Gas Exploration & Production"
"PANW",0.0260344947635694,"Palo Alto Networks","Information Technology","Systems Software"
"PAYC",0.0308111050619322,"Paycom","Industrials","Human Resource & Employment Services"
"PAYX",0.0182299727078051,"Paychex","Industrials","Human Resource & Employment Services"
"PCAR",0.0176076608294039,"Paccar","Industrials","Construction Machinery & Heavy Transportation Equipment"
"PCG",0.0255099087482166,"PG&E Corporation","Utilities","Multi-Utilities"
"PEG",0.0159182630527328,"Public Service Enterprise Group","Utilities","Electric Utilities"
"PEP",0.0140079429729886,"PepsiCo","Consumer Staples","Soft Drinks & Non-alcoholic Beverages"
"PFE",0.0172609971407381,"Pfizer","Health Care","Pharmaceuticals"
"PFG",0.0233191341028953,"Principal Financial Group","Financials","Life & Health Insurance"
"PG",0.0130545866383609,"Procter & Gamble","Consumer Staples","Personal Care Products"
"PGR",0.0170226117662742,"Progressive Corporation","Financials","Property & Casualty Insurance"
"PH",0.0227612117860887,"Parker Hannifin","Industrials","Industrial Machinery & Supplies & Components"
"PHM",0.026646120338214,"PulteGroup","Consumer Discretionary","Homebuilding"
"PKG",0.018504943050899,"Packaging Corporation of America","Materials","Paper & Plastic Packaging Products & Materials"
"PLD",0.0197523321104784,"Prologis","Real Estate","Industrial REITs"
"PM",0.0159479250832363,"Philip Morris International","Consumer Staples","Tobacco"
"PNC",0.0219563969168407,"PNC Financial Services","Financials","Diversified Banks"
"PNR",0.0206098838301849,"Pentair","Industrials","Industrial Machinery & Supplies & Components"
"PNW",0.0167629733797099,"Pinnacle West Capital","Utilities","Multi-Utilities"
"PODD",0.0277828008805109,"Insulet Corporation","Health Care","Health Care Equipment"
"POOL",0.0228378559075459,"Pool Corporation","Consumer Discretionary","Distributors"
"PPG",0.0192148283792039,"PPG Industries","Materials","Specialty Chemicals"
"PPL",0.0163857785659453,"PPL Corporation","Utilities","Electric Utilities"
"PRU",0.0232087387604956,"Prudential Financial","Financials","Life & Health Insurance"
"PSA",0.0165405858483992,"Public Storage","Real Estate","Self-Storage REITs"
"PSKY",0.0378688878395337,"Paramount Skydance Corporation","Communication Services","Movies & Entertainment"
"PSX",0.0265589510517415,"Phillips 66","Energy","Oil & Gas Refining & Marketing"
"PTC",0.0218223555851963,"PTC Inc.","Information Technology","Application Software"
"PWR",0.0235530795050197,"Quanta Services","Industrials","Construction & Engineering"
"PYPL",0.027753949981799,"PayPal","Financials","Transaction & Payment Processing Services"
"QCOM",0.0258502547167761,"Qualcomm","Information Technology","Semiconductors"
"RCL",0.040568886638483,"Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"REG",0.0227663067912774,"Regency Centers","Real Estate","Retail REITs"
"REGN",0.0205061120494988,"Regeneron Pharmaceuticals","Health Care","Biotechnology"
"RF",0.0262299082349424,"Regions Financial Corporation","Financials","Regional Banks"
"RJF",0.0220711761734655,"Raymond James Financial","Financials","Investment Banking & Brokerage"
"RL",0.0267929996784407,"Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"RMD",0.0221608947452598,"ResMed","Health Care","Health Care Equipment"
"ROK",0.0220342422014022,"Rockwell Automation","Industrials","Electrical Components & Equipment"
"ROL",0.0172347934084916,"Rollins, Inc.","Industrials","Environmental & Facilities Services"
"ROP",0.0157823717011552,"Roper Technologies","Information Technology","Electronic Equipment & Instruments"
"ROST",0.0229842697310781,"Ross Stores","Consumer Discretionary","Apparel Retail"
"RSG",0.0137473890515691,"Republic Services","Industrials","Environmental & Facilities Services"
"RTX",0.0202931931143113,"RTX Corporation","Industrials","Aerospace & Defense"
"RVTY",0.0214458643260551,"Revvity","Health Care","Health Care Equipment"
"SBAC",0.0194300451638518,"SBA Communications","Real Estate","Telecom Tower REITs"
"SBUX",0.0215129160325676,"Starbucks","Consumer Discretionary","Restaurants"
"SCHW",0.0235801083977729,"Charles Schwab Corporation","Financials","Investment Banking & Brokerage"
"SHW",0.0185479264050052,"Sherwin-Williams","Materials","Specialty Chemicals"
"SJM",0.0160276004080238,"J.M. Smucker Company (The)","Consumer Staples","Packaged Foods & Meats"
"SLB",0.0300808543746378,"Schlumberger","Energy","Oil & Gas Equipment & Services"
"SMCI",0.0495815791106722,"Supermicro","Information Technology","Technology Hardware, Storage & Peripherals"
"SNA",0.0190635033802753,"Snap-on","Industrials","Industrial Machinery & Supplies & Components"
"SNPS",0.0255305232785283,"Synopsys","Information Technology","Application Software"
"SO",0.0161400057376073,"Southern Company","Utilities","Electric Utilities"
"SPG",0.0289563966541087,"Simon Property Group","Real Estate","Retail REITs"
"SPGI",0.0181236259779284,"S&P Global","Financials","Financial Exchanges & Data"
"SRE",0.0180959755573036,"Sempra","Utilities","Multi-Utilities"
"STE",0.0178336203434719,"Steris","Health Care","Health Care Equipment"
"STLD",0.0274192837251913,"Steel Dynamics","Materials","Steel"
"STT",0.0235469934558157,"State Street Corporation","Financials","Asset Management & Custody Banks"
"STX",0.0249683170565445,"Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals"
"STZ",0.0181042861209521,"Constellation Brands","Consumer Staples","Distillers & Vintners"
"SW",0.0300066238363538,"Smurfit Westrock","Materials","Paper & Plastic Packaging Products & Materials"
"SWK",0.026491506468833,"Stanley Black & Decker","Industrials","Industrial Machinery & Supplies & Components"
"SWKS",0.0272601786473014,"Skyworks Solutions","Information Technology","Semiconductors"
"SYF",0.029050892045281,"Synchrony Financial","Financials","Consumer Finance"
"SYK",0.0187519218154995,"Stryker Corporation","Health Care","Health Care Equipment"
"SYY",0.022604869120459,"Sysco","Consumer Staples","Food Distributors"
"T",0.0164698404615821,"AT&T","Communication Services","Integrated Telecommunication Services"
"TAP",0.0193781688071853,"Molson Coors Beverage Company","Consumer Staples","Brewers"
"TDG",0.0245515192734324,"TransDigm Group","Industrials","Aerospace & Defense"
"TDY",0.0193278728914566,"Teledyne Technologies","Information Technology","Electronic Equipment & Instruments"
"TECH",0.023814713357142,"Bio-Techne","Health Care","Life Sciences Tools & Services"
"TEL",0.0196106647218503,"TE Connectivity","Information Technology","Electronic Manufacturing Services"
"TER",0.0297848076694788,"Teradyne","Information Technology","Semiconductor Materials & Equipment"
"TFC",0.0255174901416747,"Truist Financial","Financials","Diversified Banks"
"TGT",0.0225545129731837,"Target Corporation","Consumer Staples","Consumer Staples Merchandise Retail"
"TJX",0.0189164257583251,"TJX Companies","Consumer Discretionary","Apparel Retail"
"TKO",0.0236997533556105,"TKO Group Holdings","Communication Services","Movies & Entertainment"
"TMO",0.0183364291007201,"Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services"
"TMUS",0.0173955935320087,"T-Mobile US","Communication Services","Wireless Telecommunication Services"
"TPL",0.0327482087852757,"Texas Pacific Land Corporation","Energy","Oil & Gas Exploration & Production"
"TPR",0.0315974268134318,"Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods"
"TRGP",0.0355826284675171,"Targa Resources","Energy","Oil & Gas Storage & Transportation"
"TRMB",0.0236583679404848,"Trimble Inc.","Information Technology","Electronic Equipment & Instruments"
"TROW",0.0217205516144861,"T. Rowe Price","Financials","Asset Management & Custody Banks"
"TRV",0.0180695163802289,"Travelers Companies (The)","Financials","Property & Casualty Insurance"
"TSCO",0.0190959403195365,"Tractor Supply","Consumer Discretionary","Other Specialty Retail"
"TSLA",0.0423907929063319,"Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers"
"TSN",0.0190128548000288,"Tyson Foods","Consumer Staples","Packaged Foods & Meats"
"TT",0.0193406539078595,"Trane Technologies","Industrials","Building Products"
"TTD",0.0444785851086975,"Trade Desk (The)","Communication Services","Advertising"
"TTWO",0.0215412954874977,"Take-Two Interactive","Communication Services","Interactive Home Entertainment"
"TXN",0.0208369514501962,"Texas Instruments","Information Technology","Semiconductors"
"TXT",0.0239205400814568,"Textron","Industrials","Aerospace & Defense"
"TYL",0.0196705341099383,"Tyler Technologies","Information Technology","Application Software"
"UAL",0.0387888590734761,"United Airlines Holdings","Industrials","Passenger Airlines"
"UBER",0.0332352831003383,"Uber","Industrials","Passenger Ground Transportation"
"UDR",0.0189340532030409,"UDR, Inc.","Real Estate","Multi-Family Residential REITs"
"UHS",0.0248538113656578,"Universal Health Services","Health Care","Health Care Facilities"
"ULTA",0.0258981954655641,"Ulta Beauty","Consumer Discretionary","Other Specialty Retail"
"UNH",0.0212353428040234,"UnitedHealth Group","Health Care","Managed Health Care"
"UNP",0.0170818966459698,"Union Pacific Corporation","Industrials","Rail Transportation"
"UPS",0.0193726060387802,"United Parcel Service","Industrials","Air Freight & Logistics"
"URI",0.0280750418069999,"United Rentals","Industrials","Trading Companies & Distributors"
"USB",0.0232462461484471,"U.S. Bancorp","Financials","Diversified Banks"
"V",0.01722440256748,"Visa Inc.","Financials","Transaction & Payment Processing Services"
"VICI",0.0207930936316639,"Vici Properties","Real Estate","Hotel & Resort REITs"
"VLO",0.0298653705870917,"Valero Energy","Energy","Oil & Gas Refining & Marketing"
"VMC",0.020506132005335,"Vulcan Materials Company","Materials","Construction Materials"
"VRSK",0.0164218380152019,"Verisk Analytics","Industrials","Research & Consulting Services"
"VRSN",0.0174149126730258,"Verisign","Information Technology","Internet Services & Infrastructure"
"VRTX",0.0203406219549843,"Vertex Pharmaceuticals","Health Care","Biotechnology"
"VST",0.0303762280936326,"Vistra Corp.","Utilities","Electric Utilities"
"VTR",0.0265917434941596,"Ventas","Real Estate","Health Care REITs"
"VTRS",0.022782397147704,"Viatris","Health Care","Pharmaceuticals"
"VZ",0.0134528198516327,"Verizon","Communication Services","Integrated Telecommunication Services"
"WAB",0.020935524525661,"Wabtec","Industrials","Construction Machinery & Heavy Transportation Equipment"
"WAT",0.0212055501946879,"Waters Corporation","Health Care","Life Sciences Tools & Services"
"WBD",0.0353954851613455,"Warner Bros. Discovery","Communication Services","Broadcasting"
"WDAY",0.0252709117944564,"Workday, Inc.","Information Technology","Application Software"
"WDC",0.0308080785075614,"Western Digital","Information Technology","Technology Hardware, Storage & Peripherals"
"WEC",0.0158959260844831,"WEC Energy Group","Utilities","Electric Utilities"
"WELL",0.0241495455856786,"Welltower","Real Estate","Health Care REITs"
"WFC",0.0239836336354911,"Wells Fargo","Financials","Diversified Banks"
"WM",0.0138735988686015,"Waste Management","Industrials","Environmental & Facilities Services"
"WMB",0.0216415474089648,"Williams Companies","Energy","Oil & Gas Storage & Transportation"
"WMT",0.0144744290290532,"Walmart","Consumer Staples","Consumer Staples Merchandise Retail"
"WRB",0.0182191568845664,"W. R. Berkley Corporation","Financials","Property & Casualty Insurance"
"WSM",0.0319031194265068,"Williams-Sonoma, Inc.","Consumer Discretionary","Homefurnishing Retail"
"WST",0.0250790156458994,"West Pharmaceutical Services","Health Care","Health Care Supplies"
"WTW",0.0168596622485259,"Willis Towers Watson","Financials","Insurance Brokers"
"WY",0.0237861136475745,"Weyerhaeuser","Real Estate","Timber REITs"
"WYNN",0.0330565296393981,"Wynn Resorts","Consumer Discretionary","Casinos & Gaming"
"XEL",0.0158128542629277,"Xcel Energy","Utilities","Multi-Utilities"
"XOM",0.0209810576337026,"ExxonMobil","Energy","Integrated Oil & Gas"
"XYL",0.0192143643270023,"Xylem Inc.","Industrials","Industrial Machinery & Supplies & Components"
"XYZ",0.0399586802958266,"Block, Inc.","Financials","Transaction & Payment Processing Services"
"YUM",0.0162883461598517,"Yum! Brands","Consumer Discretionary","Restaurants"
"ZBH",0.019502023620418,"Zimmer Biomet","Health Care","Health Care Equipment"
"ZBRA",0.0258303306865431,"Zebra Technologies","Information Technology","Electronic Equipment & Instruments"
"ZTS",0.018098210694546,"Zoetis","Health Care","Pharmaceuticals"
